,Username,Date,Likes,Content,retweets,replies,id,url,place,hashtags,media,keyword,followers,Tweet
1506,TeamRajakeeyam,2022-08-27 13:09:44+00:00,83.0,,50.0,0.0,1.563514099069522e+18,https://twitter.com/TeamRajakeeyam/status/1563514099069521921,,['MyJANASENA_MyContribution'],,myjanasena_mycontribution,5072.0,"సేనాని 30 కోట్ల రూపాయలతో రైతుకు అండగా నిలబడుతున్నాడు

జనసైనికులుగా మనం కూడా తోడుగా ఉందాం

#MyJANASENA_MyContribution"
1507,_Revanth_PSPK,2022-08-27 13:09:43+00:00,8.0,,12.0,0.0,1.563514095575638e+18,https://twitter.com/_Revanth_PSPK/status/1563514095575638017,,['MyJANASENA_MyContribution'],"[Photo(previewUrl='https://pbs.twimg.com/media/FbK3vdhakAAgqD6?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FbK3vdhakAAgqD6?format=jpg&name=large')]",myjanasena_mycontribution,256.0,"My support to @JanaSenaParty ✊✊

#MyJANASENA_MyContribution https://t.co/RQbgGlLcrY"
1508,Gowtham90317049,2022-08-27 13:09:42+00:00,2.0,,1.0,0.0,1.5635140908234998e+18,https://twitter.com/Gowtham90317049/status/1563514090823499782,,['MyJANASENA_MyContribution'],"[Photo(previewUrl='https://pbs.twimg.com/media/FbK3mRVUUAAurGl?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FbK3mRVUUAAurGl?format=jpg&name=large')]",myjanasena_mycontribution,16.0,#MyJANASENA_MyContribution🖤🙏 https://t.co/BWxAQZAU8o
1509,TrollPSPKHater,2022-08-27 13:09:37+00:00,16.0,,27.0,0.0,1.5635140695416177e+18,https://twitter.com/TrollPSPKHater/status/1563514069541617672,,['MyJANASENA_MyContribution'],,myjanasena_mycontribution,5257.0,"I am going to donate!✊🏻

#MyJANASENA_MyContribution"
1510,VINAYBOLLIMUNT1,2022-08-27 13:09:37+00:00,6.0,,4.0,0.0,1.5635140677506499e+18,https://twitter.com/VINAYBOLLIMUNT1/status/1563514067750649856,,"['MyJANASENA_MyContribution', 'Janasena', 'JanasenaRythuBharosaYatra', 'JanaSenaParty', 'Jalsa4K', 'Pawanakalyan']",,myjanasena_mycontribution,9.0,"#MyJANASENA_MyContribution
#Janasena 
@TrendPSPK  me page lo unna 270k people each one 100 donate chesina 2.70cr nearly vasthai bro 
✊✊
#JanasenaRythuBharosaYatra 
#JanaSenaParty 
#Jalsa4K 
#Pawanakalyan"
1511,YSatyanadh,2022-08-27 13:09:33+00:00,34.0,,31.0,0.0,1.563514054224003e+18,https://twitter.com/YSatyanadh/status/1563514054224003073,,['MyJANASENA_MyContribution'],"[Photo(previewUrl='https://pbs.twimg.com/media/FbK3uxbUsAAr6Fo?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FbK3uxbUsAAr6Fo?format=jpg&name=large')]",myjanasena_mycontribution,310.0,"Donation from my side for better society ✊✊✊

#MyJANASENA_MyContribution https://t.co/WzSteFnWiM"
1512,sanjaysahu427,2022-08-27 13:09:29+00:00,0.0,,0.0,0.0,1.5635140379123507e+18,https://twitter.com/sanjaysahu427/status/1563514037912350721,,['MyJANASENA_MyContribution'],,myjanasena_mycontribution,284.0,"https://t.co/9JFga6DeMg
#MyJANASENA_MyContribution"
1513,premsayz,2022-08-27 13:09:28+00:00,0.0,,0.0,0.0,1.56351403205709e+18,https://twitter.com/premsayz/status/1563514032057090048,,['MyJANASENA_MyContribution'],,myjanasena_mycontribution,237.0,"Yes, We do 👍

#MyJANASENA_MyContribution"
1514,justvishall,2022-08-27 13:09:27+00:00,5.0,,6.0,0.0,1.5635140295862764e+18,https://twitter.com/justvishall/status/1563514029586276353,,['MyJANASENA_MyContribution'],"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1563513866671120384/pu/img/Zd_u_6XjkPX72NvJ.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1563513866671120384/pu/vid/640x352/EDKCJaldfhyD0JtW.mp4?tag=12', bitrate=832000), VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/ext_tw_video/1563513866671120384/pu/pl/vcUsIvI_DN9rmtXZ.m3u8?tag=12&container=fmp4&v=5df', bitrate=None), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1563513866671120384/pu/vid/490x270/J0HxDXzvmNQh1ix6.mp4?tag=12', bitrate=256000)], duration=16.531, views=68)]",myjanasena_mycontribution,779.0,"He's general secretary of JanaSena party Mr.@TSivasankararao

Chala need lo unnattu unnaru. We better contribute now.

#MyJANASENA_MyContribution https://t.co/w04SU217d8"
1515,TigerSatti_,2022-08-27 13:09:27+00:00,4.0,,1.0,0.0,1.563514025690153e+18,https://twitter.com/TigerSatti_/status/1563514025690152961,,['MyJANASENA_MyContribution'],"[Photo(previewUrl='https://pbs.twimg.com/media/FbK3t2TaIAEn2Fy?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FbK3t2TaIAEn2Fy?format=jpg&name=large')]",myjanasena_mycontribution,3807.0,"Starting from today, until the end of Sep 2nd, requesting everyone to donate for JSP and post the screenshot using the hashtag:

 #MyJANASENA_MyContribution https://t.co/VCvdvmXHJh"
